,title,imdb_id,poster_path,wiki_link,imdb_id,title,original_title,is_adult,year_of_release,runtime,genres,imdb_id,imdb_rating,imdb_votes
70,Jhalki,tt7743400,https://upload.wikimedia.org/wikipedia/en/thumb/e/e3/Jhalki_Movie_Official_Poster.jpg/220px-Jhalki_Movie_Official_Poster.jpg,https://en.wikipedia.org/wiki/Jhalki,tt1503640,Damadamm!,Damadamm!,0,2011,122,Comedy|Drama|Romance,tt7723022,3.8,108.0
71,Marjaavaan,tt9248934,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/Marjaavaan_poster.jpg/220px-Marjaavaan_poster.jpg,https://en.wikipedia.org/wiki/Marjaavaan,tt1512220,My Friend Pinto,My Friend Pinto,0,2011,100,Comedy|Crime|Drama,tt7180544,8.1,5434.0
72,Motichoor Chaknachoor,tt9172840,https://upload.wikimedia.org/wikipedia/en/thumb/e/e9/Motichoor_Chaknachoor_poster.jpg/220px-Motichoor_Chaknachoor_poster.jpg,https://en.wikipedia.org/wiki/Motichoor_Chaknachoor,tt1535467,Patiala House,Patiala House,0,2011,140,Drama|Sport,tt6395306,7.6,1503.0
73,Keep Safe Distance (film),tt8876008,,https://en.wikipedia.org/wiki/Keep_Safe_Distance_(film),tt1558578,Knock Out,Knock Out,0,2010,117,Action|Crime|Drama,tt7853242,7.2,6248.0
74,Pagalpanti (2019 film),tt9495690,https://upload.wikimedia.org/wikipedia/en/thumb/4/43/Pagalpanti_film_poster.jpg/220px-Pagalpanti_film_poster.jpg,https://en.wikipedia.org/wiki/Pagalpanti_(2019_film),tt1562871,Ra.One,Ra.One,0,2011,156,Action|Adventure|Sci-Fi,tt6774212,5.2,3538.0
75,Ramprasad Ki Tehrvi,tt10196464,https://upload.wikimedia.org/wikipedia/en/thumb/2/24/Ramprasad_Ki_Tehrvi.jpg/220px-Ramprasad_Ki_Tehrvi.jpg,https://en.wikipedia.org/wiki/Ramprasad_Ki_Tehrvi,tt1562872,Zindagi Na Milegi Dobara,Zindagi Na Milegi Dobara,0,2011,155,Comedy|Drama,tt5935704,7.0,24550.0
76,Yeh Saali Aashiqui,tt10443846,https://upload.wikimedia.org/wikipedia/en/thumb/4/47/Yeh_Saali_Aashiqui_film_poster.jpg/220px-Yeh_Saali_Aashiqui_film_poster.jpg,https://en.wikipedia.org/wiki/Yeh_Saali_Aashiqui,tt1563732,5 Ghantey Mien 5 Crore,5 Ghantey Mien 5 Crore,0,2012,111,Thriller,tt7617988,7.5,578.0
77,Dil Bechara,tt8110330,,https://en.wikipedia.org/wiki/Dil_Bechara,tt1572311,Tees Maar Khan,Tees Maar Khan,0,2010,135,Comedy|Crime,tt7720254,4.4,25.0
78,Pati Patni Aur Woh (2019 film),tt9680136,https://upload.wikimedia.org/wikipedia/en/thumb/d/d6/Pati_Patni_Aur_Woh_poster.jpg/220px-Pati_Patni_Aur_Woh_poster.jpg,https://en.wikipedia.org/wiki/Pati_Patni_Aur_Woh_(2019_film),tt1573072,Housefull,Housefull,0,2010,144,Comedy,tt7262178,2.8,380.0
79,Commando 3 (film),tt8983168,https://upload.wikimedia.org/wikipedia/en/thumb/1/15/Commando_3_official_poster.jpg/220px-Commando_3_official_poster.jpg,https://en.wikipedia.org/wiki/Commando_3_(film),tt1573482,Striker,Striker,0,2010,128,Action|Crime|Drama,tt7581902,7.1,17378.0
